target_column,gene_symbol,y_mean,y_std,y_min,y_max,n_missing,n_dep_lt_m05,n_strong_lt_m1,n_neutral_gt_m02,frac_dep_lt_m05,frac_strong_lt_m1,selection_score
TUBE1 (51175),TUBE1,-0.5885225087135378,0.30131751865753725,-1.4265597483592236,0.0567354668495994,0,36,4,5,0.6101694915254238,0.06779661016949153,8.001317518657537
GART (2618),GART,-0.5656688766012663,0.3894942159209247,-1.3855371226684317,0.1118767319830189,0,32,7,12,0.5423728813559322,0.11864406779661017,7.989494215920925
SOX9 (6662),SOX9,-0.5939078436036552,0.4868340498390351,-2.108544249450682,0.1625440932884713,0,31,13,13,0.5254237288135594,0.22033898305084745,7.986834049839035
MLST8 (64223),MLST8,-0.6055616757057531,0.38603866261370706,-1.5788153931773354,-0.0038980620363159,0,34,8,8,0.576271186440678,0.13559322033898305,7.986038662613708
RGP1 (9827),RGP1,-0.5303368537729347,0.37952283749471105,-1.7048958927804128,0.1999948221904924,0,32,4,12,0.5423728813559322,0.06779661016949153,7.979522837494712
XRN1 (54464),XRN1,-0.5743761433538407,0.4567729579954178,-2.223590748478079,0.2983201888660904,0,30,9,15,0.5084745762711864,0.15254237288135594,7.956772957995418
PFDN1 (5201),PFDN1,-0.6241880568505911,0.3942921322326456,-1.716849142553149,0.0320134150957033,0,34,10,7,0.576271186440678,0.1694915254237288,7.894292132232646
ENO1 (2023),ENO1,-0.5871704338629783,0.3633206528643266,-1.6118566576788322,0.1182191543001847,0,34,8,7,0.576271186440678,0.13559322033898305,7.863320652864328
GET1 (7485),GET1,-0.5652443495906332,0.34039969495197847,-1.5158318034050549,-0.033364742470456,0,32,5,11,0.5423728813559322,0.0847457627118644,7.840399694951978
ZNHIT3 (9326),ZNHIT3,-0.6397136806689426,0.30700237146607157,-1.1731743995306687,-0.0384607409389859,0,35,9,5,0.5932203389830508,0.15254237288135594,7.807002371466072
PIK3CA (5290),PIK3CA,-0.5968330291685551,0.40460156753105153,-2.089855242872175,0.2609418876318116,0,34,7,6,0.576271186440678,0.11864406779661017,7.804601567531053
DHODH (1723),DHODH,-0.5970240214529766,0.367029992481941,-1.810905852755976,-0.0623454669824274,0,34,7,6,0.576271186440678,0.11864406779661017,7.767029992481941
YAP1 (10413),YAP1,-0.655339802274134,0.45159216634163313,-2.830750336913944,0.0010827582236204,0,34,10,5,0.576271186440678,0.1694915254237288,7.751592166341634
OGDH (4967),OGDH,-0.5798685451567708,0.3357689918469299,-1.466223839767035,0.150057253972575,0,34,6,6,0.576271186440678,0.1016949152542373,7.73576899184693
HSD17B10 (3028),HSD17B10,-0.5452042836977679,0.33146824400726294,-1.2706891931787911,0.1234493034984894,0,32,5,10,0.5423728813559322,0.0847457627118644,7.731468244007264
TUBB4B (10383),TUBB4B,-0.6984199656764878,0.5304814201697621,-2.6225504977140712,-0.0409517907149093,0,33,13,6,0.559322033898305,0.22033898305084745,7.730481420169763
TYMS (7298),TYMS,-0.7071266288724128,0.7184560125002104,-3.0620111356837314,0.0789855102761102,0,27,15,16,0.4576271186440678,0.2542372881355932,7.71845601250021
TTF2 (8458),TTF2,-0.5655416232738917,0.31558141089753683,-1.5282128504627046,0.1366852000559749,0,34,5,6,0.576271186440678,0.0847457627118644,7.7155814108975385
METAP1 (23173),METAP1,-0.5455496205696069,0.3113776273675209,-1.5132542883206177,0.0853688401081286,0,32,5,10,0.5423728813559322,0.0847457627118644,7.711377627367521
CHMP5 (51510),CHMP5,-0.6883932734833101,0.3995227075405077,-1.867921279340755,0.0374357859810857,0,34,12,5,0.576271186440678,0.2033898305084746,7.699522707540509
KIF4A (24137),KIF4A,-0.5421049138798193,0.37322476347584854,-1.401453467960498,0.1002920708654204,0,31,8,11,0.5254237288135594,0.13559322033898305,7.673224763475849
MED10 (84246),MED10,-0.5257053700657003,0.3583501112370741,-1.5292894216733934,0.2370916819705545,0,30,4,13,0.5084745762711864,0.06779661016949153,7.658350111237074
EAPP (55837),EAPP,-0.5612302773389813,0.34724462112450216,-2.251321120997216,0.0671481845335614,0,34,4,5,0.576271186440678,0.06779661016949153,7.647244621124503
RNF4 (6047),RNF4,-0.63379755589095,0.42373555052824446,-2.0138417939147457,-0.0430405443133287,0,32,7,8,0.5423728813559322,0.11864406779661017,7.623735550528244
VBP1 (7411),VBP1,-0.5831778358638526,0.3226907437789584,-1.6055654659546224,-0.073275476488234,0,33,5,7,0.559322033898305,0.0847457627118644,7.622690743778959
IRS2 (8660),IRS2,-0.6008669941151017,0.5168261776629335,-2.623399480457696,0.1386888037923731,0,28,11,15,0.4745762711864407,0.1864406779661017,7.616826177662934
TTC7A (57217),TTC7A,-0.6252783581585678,0.6055238623752186,-2.341189275960309,0.2519466038712301,0,28,14,14,0.4745762711864407,0.23728813559322035,7.60552386237522
SKA2 (348235),SKA2,-0.4904946075778801,0.3760213502755371,-1.194540698007702,1.22641503922322,0,33,3,6,0.559322033898305,0.05084745762711865,7.576021350275537
BAP1 (8314),BAP1,-0.5599470298394431,0.31182540041785617,-1.3351306156082354,0.0141585737925318,0,32,6,8,0.5423728813559322,0.1016949152542373,7.511825400417856
ANKRD49 (54851),ANKRD49,-0.436352684859515,0.3751302271968984,-1.0278456898887265,0.4415240269718947,0,28,1,15,0.4745762711864407,0.01694915254237288,7.475130227196899
FLII (2314),FLII,-0.4962664232201324,0.3364644113837747,-1.4522047692649342,0.0481713981541781,0,28,4,15,0.4745762711864407,0.06779661016949153,7.436464411383775
SERBP1 (26135),SERBP1,-0.5834959568447277,0.33038433828739794,-1.6410685719816014,0.0347383447004379,0,33,6,5,0.559322033898305,0.1016949152542373,7.430384338287398
SLC2A1 (6513),SLC2A1,-0.509923505294357,0.41282683412638793,-1.2925014448023022,0.268565526312308,0,27,10,16,0.4576271186440678,0.1694915254237288,7.412826834126388
ACTR1A (10121),ACTR1A,-0.5686313899260821,0.41009329718458826,-1.950125110812256,0.0894809301838971,0,30,7,10,0.5084745762711864,0.11864406779661017,7.410093297184588
EFR3A (23167),EFR3A,-0.5972566515753673,0.4717754048315185,-1.5314760248782853,0.3706138575032459,0,28,14,13,0.4745762711864407,0.23728813559322035,7.371775404831519
SMC5 (23137),SMC5,-0.5338748291422275,0.35772445701881733,-1.9981304630384675,0.1921695965157739,0,31,4,8,0.5254237288135594,0.06779661016949153,7.357724457018818
TCOF1 (6949),TCOF1,-0.5404613253916621,0.32876080521362266,-1.3230988040506293,0.1406776142035374,0,31,4,8,0.5254237288135594,0.06779661016949153,7.328760805213623
LSM12 (124801),LSM12,-0.5117558231951282,0.31038112349688257,-1.3691982235109226,0.2449872503123464,0,31,2,8,0.5254237288135594,0.03389830508474576,7.3103811234968825
NBAS (51594),NBAS,-0.477110460060987,0.37519736484206107,-1.5676607646482126,0.3763341891086138,0,28,5,13,0.4745762711864407,0.0847457627118644,7.275197364842062
MCL1 (4170),MCL1,-0.6082945656865559,0.5583799384839936,-2.1474331768039336,0.3246461116662644,0,27,13,13,0.4576271186440678,0.22033898305084745,7.258379938483993
KCTD10 (83892),KCTD10,-0.4695570380690465,0.3499077258871227,-1.4471254217572354,0.0181185107918224,0,27,5,15,0.4576271186440678,0.0847457627118644,7.249907725887123
UBE2C (11065),UBE2C,-0.5347584419529502,0.33855433991991823,-1.183977246814433,0.4118707892189187,0,30,3,9,0.5084745762711864,0.05084745762711865,7.238554339919919
MED19 (219541),MED19,-0.541352130478118,0.4283530544968604,-1.5149809759762447,0.922068152264324,0,30,8,8,0.5084745762711864,0.13559322033898305,7.228353054496861
E4F1 (1877),E4F1,-0.4640140493934292,0.3271053195911299,-1.155958657122043,0.6700026874470736,0,28,1,13,0.4745762711864407,0.01694915254237288,7.22710531959113
PNKP (11284),PNKP,-0.5055181733918243,0.3155008276145197,-1.2194767329072322,0.2772773550426021,0,30,4,9,0.5084745762711864,0.06779661016949153,7.21550082761452
NPEPPS (9520),NPEPPS,-0.5192239792009029,0.31366360188275055,-1.3599596231653228,0.3376491331789218,0,31,3,7,0.5254237288135594,0.05084745762711865,7.213663601882751
ATIC (471),ATIC,-0.5625233805911891,0.4030171337438912,-1.7348212616960026,0.0733974319559747,0,29,11,10,0.4915254237288136,0.1864406779661017,7.2030171337438915
CEP43 (11116),CEP43,-0.38418996819997253,0.502655641402168,-1.726978906158149,1.0739687113681609,0,22,6,23,0.3728813559322034,0.1016949152542373,7.202655641402169
TSC2 (7249),TSC2,-0.2896845774221405,0.49429428179476703,-1.4914796367468333,1.233334099854324,0,23,3,21,0.3898305084745763,0.05084745762711865,7.194294281794768
RHEB (6009),RHEB,-0.37893389596200244,0.3803985239303846,-1.0790275289251725,0.9458741056207264,0,27,2,14,0.4576271186440678,0.03389830508474576,7.180398523930386
NDUFS1 (4719),NDUFS1,-0.5523839852384055,0.3601169129830982,-1.9055835216380768,0.1412457684520001,0,29,5,10,0.4915254237288136,0.0847457627118644,7.160116912983099
HUS1 (3364),HUS1,-0.5060296288851444,0.3576619678270571,-1.3354247900707352,0.2406425776476074,0,28,5,12,0.4745762711864407,0.0847457627118644,7.157661967827058
RCOR1 (23186),RCOR1,-0.4098241280608029,0.35305940432004224,-1.4846991699291272,0.398073753065923,0,24,3,20,0.4067796610169492,0.05084745762711865,7.153059404320043
GMNN (51053),GMNN,-0.5650587517108686,0.4516607139180408,-2.227014858843392,0.0390916907840371,0,28,7,11,0.4745762711864407,0.11864406779661017,7.151660713918041
APC (324),APC,-0.39574520012636805,0.4355019684788991,-1.5268152202808485,0.3877447327128396,0,20,7,27,0.3389830508474576,0.11864406779661017,7.135501968478899
FERMT1 (55612),FERMT1,-0.38395812864427825,0.4346310744492013,-2.1400909603549167,0.2216687598975333,0,22,4,23,0.3728813559322034,0.06779661016949153,7.134631074449201
WRN (7486),WRN,-0.4681163307048498,0.8783152570316365,-3.219640466834309,0.2997038575620586,0,12,8,38,0.2033898305084746,0.13559322033898305,7.078315257031637
DYNLL1 (8655),DYNLL1,-0.4800272799030142,0.31595230278606445,-1.4449343329339852,0.1521864955801933,0,27,3,13,0.4576271186440678,0.05084745762711865,7.015952302786064
PTK2 (5747),PTK2,-0.49824457238698205,0.31393374491246334,-1.4761086238950205,-0.0174706125481329,0,29,5,9,0.4915254237288136,0.0847457627118644,7.013933744912465
ITGB5 (3693),ITGB5,-0.5093364206879633,0.30894644560851675,-1.6376457202526258,0.0001590397905289,0,29,4,9,0.4915254237288136,0.06779661016949153,7.008946445608518
SREBF1 (6720),SREBF1,-0.573564280753398,0.4078179503638235,-1.9330864243493204,0.0243896041276175,0,28,8,10,0.4745762711864407,0.13559322033898305,7.007817950363824
KIF14 (9928),KIF14,-0.5391209127426836,0.3053605777782614,-1.279041699741868,0.0839983968903548,0,30,5,7,0.5084745762711864,0.0847457627118644,7.005360577778261
JUP (3728),JUP,-0.20814771071300878,0.3893757401054637,-1.8123305395035607,0.5063393974308384,0,11,4,44,0.1864406779661017,0.06779661016949153,6.989375740105464
IGF1R (3480),IGF1R,-0.36538099941845403,0.3798076485645767,-1.4431394043679564,0.2762287732123327,0,20,5,26,0.3389830508474576,0.0847457627118644,6.979807648564577
WDR73 (84942),WDR73,-0.5131898580366796,0.3729972376991476,-1.6368156800471978,0.0744725754243001,0,27,7,12,0.4576271186440678,0.11864406779661017,6.972997237699148
EAF1 (85403),EAF1,-0.3916382644747934,0.36784178304769927,-1.3745856206432434,0.1853762202975185,0,21,5,24,0.3559322033898305,0.0847457627118644,6.9678417830476995
ICE2 (79664),ICE2,-0.5237846814058644,0.3415831704290486,-1.4903147111476382,0.1135932547537356,0,28,6,10,0.4745762711864407,0.1016949152542373,6.941583170429049
UFM1 (51569),UFM1,-0.5530479406269914,0.3174742572012777,-1.4638843658624792,0.0765795902602749,0,30,5,6,0.5084745762711864,0.0847457627118644,6.9174742572012775
GABPB1 (2553),GABPB1,-0.3794949252246924,0.30636746211256066,-1.0679946261819366,0.127292875269672,0,22,3,22,0.3728813559322034,0.05084745762711865,6.906367462112561
SMARCA5 (8467),SMARCA5,-0.5068217663910951,0.3051972609045988,-1.18802686846278,0.4715740775404,0,29,3,8,0.4915254237288136,0.05084745762711865,6.9051972609045995
COG8 (84342),COG8,-0.5421664354231224,0.30258536396983193,-1.375929562529441,0.0017718217590786,0,29,5,8,0.4915254237288136,0.0847457627118644,6.902585363969832
EGFR (1956),EGFR,-0.34952461438706595,0.3984054956301958,-1.381422009648971,0.2376949963796116,0,19,6,27,0.3220338983050847,0.1016949152542373,6.898405495630196
CCNL1 (57018),CCNL1,-0.570918054952404,0.36560075458694535,-1.606727440488714,0.2219553109555018,0,30,8,5,0.5084745762711864,0.13559322033898305,6.8656007545869455
CHMP4B (128866),CHMP4B,-0.5497095461390793,0.45803793695400796,-1.954710126146157,0.3046883952542834,0,27,9,10,0.4576271186440678,0.15254237288135594,6.858037936954008
CTC1 (80169),CTC1,-0.40788738096171695,0.3532524460762152,-1.3100471491752723,0.3034798352706943,0,25,2,15,0.423728813559322,0.03389830508474576,6.853252446076215
PTPMT1 (114971),PTPMT1,-0.4956482233455797,0.352561832968524,-1.3964785869961385,0.3978167135757894,0,28,6,9,0.4745762711864407,0.1016949152542373,6.852561832968525
CDX2 (1045),CDX2,-0.38894023108971854,0.4267733780253625,-1.5191945654121877,0.1989999156379771,0,19,7,26,0.3220338983050847,0.11864406779661017,6.826773378025363
RPRD1B (58490),RPRD1B,-0.4887374108686877,0.3140517537601085,-1.2540532759752818,0.2391141744460971,0,28,4,9,0.4745762711864407,0.06779661016949153,6.8140517537601095
PMM2 (5373),PMM2,-0.5119840856493669,0.40919451601956536,-2.170548624523615,0.079640259892243,0,25,5,14,0.423728813559322,0.0847457627118644,6.8091945160195655
CCND2 (894),CCND2,-0.30931696207052145,0.39516252329432633,-1.515913726469532,0.0961759559850918,0,14,6,36,0.23728813559322035,0.1016949152542373,6.7951625232943265
BRAF (673),BRAF,-0.3555091392053483,0.3888446398458084,-1.577997034762439,0.158818114770898,0,18,4,28,0.3050847457627119,0.06779661016949153,6.788844639845809
RICTOR (253260),RICTOR,-0.3903125594331364,0.33696137534500775,-1.216443085850614,0.3573413644582752,0,24,3,16,0.4067796610169492,0.05084745762711865,6.736961375345009
NUP50 (10762),NUP50,-0.48434165599456835,0.30475107526848433,-1.3088503512675982,0.277174307181764,0,26,3,12,0.4406779661016949,0.05084745762711865,6.704751075268485
TMX2 (51075),TMX2,-0.4855942747556499,0.39614350007307014,-1.6085979134316153,0.4264498503601672,0,25,6,13,0.423728813559322,0.1016949152542373,6.69614350007307
KEAP1 (9817),KEAP1,-0.24031955783960532,0.47927217636586816,-1.7244369564074298,0.7870158383037751,0,17,2,28,0.288135593220339,0.03389830508474576,6.679272176365869
RFK (55312),RFK,-0.5151160558076258,0.36823154133276814,-1.755972784861075,0.067646078691781,0,26,6,11,0.4406779661016949,0.1016949152542373,6.6682315413327675
CHMP7 (91782),CHMP7,-0.5139880238112811,0.44997104948280775,-2.7323658135349183,0.2334504523495353,0,25,7,12,0.423728813559322,0.11864406779661017,6.649971049482808
GFPT1 (2673),GFPT1,-0.5141323055343331,0.34138580258653656,-1.3467769864225594,0.0199282473977029,0,26,5,11,0.4406779661016949,0.0847457627118644,6.641385802586537
HEATR3 (55027),HEATR3,-0.31184864113514094,0.33926708467281336,-1.0771772946962956,0.3645090677395893,0,18,1,27,0.3050847457627119,0.01694915254237288,6.639267084672813
BRCA1 (672),BRCA1,-0.44687049588643885,0.3346673763003196,-1.189450153892957,0.3640589737163543,0,26,3,11,0.4406779661016949,0.05084745762711865,6.634667376300319
NDUFV2 (4729),NDUFV2,-0.4150298111334254,0.3343342057186976,-1.7343763575268354,0.3506760907393222,0,24,2,15,0.4067796610169492,0.03389830508474576,6.634334205718698
MTHFD1 (4522),MTHFD1,-0.5120112132430381,0.42689352937441827,-1.6967388884219776,0.3941516507086877,0,24,6,14,0.4067796610169492,0.1016949152542373,6.626893529374419
METTL1 (4234),METTL1,-0.5610549388558868,0.32647646623742416,-1.7398086317710333,-0.0853437575458205,0,29,5,5,0.4915254237288136,0.0847457627118644,6.626476466237425
NDUFA8 (4702),NDUFA8,-0.5648125622913236,0.3195826120053621,-1.5745425955415349,0.0248706834803662,0,29,6,5,0.4915254237288136,0.1016949152542373,6.619582612005363
ELP2 (55250),ELP2,-0.534858048643764,0.3165972171303286,-1.47983156943617,0.0442615072347274,0,28,5,7,0.4745762711864407,0.0847457627118644,6.616597217130329
TUBD1 (51174),TUBD1,-0.5029599394215702,0.31581743369652393,-1.6014626776185066,0.1832264054250945,0,27,5,9,0.4576271186440678,0.0847457627118644,6.615817433696525
SMG7 (9887),SMG7,-0.5042106358004442,0.30059361295301984,-1.5144950272601516,0.0678520641658212,0,29,3,5,0.4915254237288136,0.05084745762711865,6.600593612953021
FBXW11 (23291),FBXW11,-0.4988778443263876,0.3862959325814586,-1.4010050696936835,0.2066519362268539,0,24,8,14,0.4067796610169492,0.13559322033898305,6.58629593258146
ZBTB7A (51341),ZBTB7A,-0.45840914697007706,0.37184856806629807,-1.68657842557838,0.1868571776318376,0,23,6,16,0.3898305084745763,0.1016949152542373,6.571848568066299
FURIN (5045),FURIN,-0.25078635249945114,0.3713063777523955,-1.2738352395796957,0.605642713770196,0,15,2,32,0.2542372881355932,0.03389830508474576,6.5713063777523955
GATA6 (2627),GATA6,-0.19416279168148243,0.3595064438090498,-1.151790419156058,0.3006091231378309,0,13,2,36,0.22033898305084745,0.03389830508474576,6.55950644380905
CTNNA1 (1495),CTNNA1,-0.07767503653768519,0.3355523150447502,-0.8471425246714653,0.8635351579999355,0,10,0,42,0.1694915254237288,0.0,6.53555231504475
RTEL1 (51750),RTEL1,-0.5144530416365877,0.33335652205894467,-1.7335792285982956,0.0561890723331635,0,27,3,8,0.4576271186440678,0.05084745762711865,6.533356522058945
CAB39 (51719),CAB39,-0.2679619975636752,0.3321739206829325,-1.16886721259555,0.2762485661416698,0,16,1,30,0.2711864406779661,0.01694915254237288,6.532173920682933
SMC6 (79677),SMC6,-0.4622214489529309,0.326031617685157,-1.2879950446879156,0.3423452932492626,0,24,4,14,0.4067796610169492,0.06779661016949153,6.526031617685158
EMC1 (23065),EMC1,-0.43563233276926927,0.32510962394677334,-1.2859530349344388,0.3364688308314502,0,25,2,12,0.423728813559322,0.03389830508474576,6.525109623946774
SATB2 (23314),SATB2,-0.30385185048781244,0.5197435665397756,-2.1222669289833926,0.323735210893298,0,13,6,34,0.22033898305084745,0.1016949152542373,6.519743566539776
CNOT1 (23019),CNOT1,-0.5308637745141271,0.31948133025853387,-1.4039357873114096,-0.0015875115077255,0,26,7,10,0.4406779661016949,0.11864406779661017,6.519481330258534
