rank,gene_symbol,target_column,n_samples,y_mean,y_std,y_min,y_max,MAE,RMSE,baseline_RMSE,R2
38,SNRPB2,SNRPB2 (6629),59,-0.782378062935339,0.4934137629410569,-2.058434260897644,0.0129778828689978,0.40676733839703777,0.536489332646756,0.4892144205065134,-0.20260687340818695
48,USP9X,USP9X (8239),59,-0.6583550833441298,0.39826961847744036,-1.419353007664581,0.3243196534355588,0.34968021816323536,0.43336236701166064,0.3948800281682995,-0.20440361780551197
6,NCAPD3,NCAPD3 (23310),59,-0.7706665711054317,0.3781809248255241,-1.6599440270156265,0.1174090660494838,0.3267155180636759,0.416832787956534,0.374962305231112,-0.2358009513465753
43,CIT,CIT (11113),59,-0.5773283530242699,0.34406855852650725,-1.2701679564164865,0.0465889831625467,0.3062278146145826,0.38566403954463535,0.34114026222281224,-0.2780632107987986
50,ATP6V1H,ATP6V1H (51606),59,-0.6548342516798308,0.3248722750331447,-1.3129810611233483,0.0986554505555373,0.2887475174082129,0.36966586535126317,0.322107354325985,-0.3170959630708232
15,TCF7L2,TCF7L2 (6934),59,-0.7115619838432203,0.47537712449475017,-1.647270560234292,0.1391270781926281,0.43038888858381064,0.5425558052489398,0.47133128815771125,-0.32506227267998833
10,MED9,MED9 (55090),59,-0.7387238162015654,0.365747881907713,-1.7934332561527344,-0.0572460130462878,0.3389148167531619,0.41964775754899947,0.3626350773688114,-0.3391529799203601
27,ALG1,ALG1 (56052),59,-0.7382614704299499,0.33382456526908577,-1.3030739651990282,-0.0066172257646678,0.29715724968375895,0.38373171288036095,0.3309834534722206,-0.34413477868489206
1,PGK1,PGK1 (5230),59,-0.960181183831801,0.4709073239836293,-1.936391871279404,0.2726394904846108,0.4127243196943374,0.5418804522832787,0.46689952919380706,-0.3469767430165316
3,PPP2CA,PPP2CA (5515),59,-1.0765956148214875,0.7677413608062063,-4.6586549350094,0.1321785531381596,0.6418942967469311,0.8844515293224589,0.7612072729526967,-0.3500262599711981
34,UROD,UROD (7389),59,-0.8576265752761006,0.5648539917916353,-2.9919550626603426,-0.108750003112824,0.4546791063798082,0.6531477337788127,0.5600466363524332,-0.36011134207430007
26,ACO2,ACO2 (50),59,-0.9311909016430916,0.5675597510865605,-2.57682593138108,0.1266439459951007,0.5311966152313401,0.6632317352793643,0.5627293674899007,-0.38909336379067594
37,GEMIN4,GEMIN4 (50628),59,-0.6942670230913092,0.3343519439628448,-1.546698386441432,0.2461268466850344,0.30859300528638395,0.3959581914820342,0.3315063437550472,-0.4266419062074609
8,MED12,MED12 (9968),59,-0.7736227406526746,0.4073621602207545,-1.5598094338242403,0.2478541457344202,0.3791891263358219,0.48314205991015663,0.4038951851703511,-0.43091007410629056
5,ALG13,ALG13 (79868),59,-0.8201592230819506,0.49043740420218257,-1.9369155546862848,0.3467873598758827,0.45753460930190154,0.5960091016671053,0.4862633929409694,-0.5023206320763189
29,MBTPS1,MBTPS1 (8720),59,-0.7887086900117877,0.47393522321186704,-2.1631463965965643,0.2790006604284842,0.41192748194981943,0.6186003727587016,0.4699016585982749,-0.733031269433311
21,GTF2F2,GTF2F2 (2963),59,-0.6477445007560944,0.3187448316931735,-1.5611193273886426,0.2583100746952165,0.306575096241819,0.41741183665383,0.31603206038833165,-0.7444849837996541
33,CDK4,CDK4 (1019),59,-0.8400816504139409,0.5937471923759267,-2.72292162583551,0.2386318597957193,0.6114271644620775,0.7836492849248888,0.5886939328854063,-0.7720026349207723
17,GET3,GET3 (439),59,-0.8058875891127966,0.40795785937822654,-2.060833087129316,-0.1226322885448656,0.38320263548710737,0.5568776053994209,0.40448581445556164,-0.8954525459242697
9,TAMM41,TAMM41 (132001),59,-0.8343899809356389,0.5057950296405748,-1.84741299532854,0.3925019447863112,0.5258584352350244,0.7149332815128608,0.5014903128072007,-1.0323847758479316
28,UMPS,UMPS (7372),59,-0.8024819941844169,0.5812989905506372,-2.268870611200356,0.3365999601719613,0.5434080968297894,0.8473066290473663,0.576351675129952,-1.1612553876086973
49,NAPG,NAPG (8774),59,-0.7592409914026367,0.5392259681225824,-2.5577064685554443,0.2445779002454764,0.5421348665132419,0.9000318331111674,0.5346367274896343,-1.8339890039005633
47,TIMM22,TIMM22 (29928),59,-0.5778020447250479,0.4171128589761187,-1.6089517734689447,1.107823356103633,0.4746463539926785,1.1707829201942563,0.4135628977463153,-7.0143742132750155
12,DNAJC11,DNAJC11 (55735),59,-0.7817492773889267,0.48148233279150476,-2.965052092631963,0.0920113707763456,0.5413638175132715,1.5765883452756415,0.47738453628999966,-9.906864796494181
