feature,n_folds,mean_abs_coef,mean_coef
expr_FAM50B (26240),5,0.1925973377329331,0.1925973377329331
expr_TGM3 (7053),5,0.05532668707657573,0.05532668707657573
mut_PWWP2B,4,0.016443011645491022,0.016443011645491022
mut_CARS1,3,0.07877016669215538,0.07877016669215538
expr_ENTPD1 (953),3,0.05364592097420012,-0.05364592097420012
expr_RPUSD4 (84881),3,0.027707683862776413,-0.027707683862776413
mut_SLC2A5,3,0.017236211522694302,-0.017236211522694302
expr_CTSW (1521),3,0.01302437732311964,-0.01302437732311964
expr_CTRL (1506),2,0.06844457564389185,-0.06844457564389185
mut_GFOD1,2,0.04495648238533178,-0.04495648238533178
mut_ZNF831,2,0.04136153438441394,-0.04136153438441394
mut_SP5,2,0.03332636594824239,-0.03332636594824239
expr_RCE1 (9986),2,0.031237964540763018,-0.031237964540763018
expr_FOXC1 (2296),2,0.02830714471609129,-0.02830714471609129
expr_TMEM176B (28959),2,0.027832489325738192,0.027832489325738192
mut_SOX12,2,0.02562343201386453,0.02562343201386453
expr_TAF1D (79101),2,0.01937769841166204,-0.01937769841166204
expr_NUAK2 (81788),2,0.018982436883934604,0.018982436883934604
