alpha,FAM50A_predicted_vulnerability_group,n,median_relative_fitness,mean_relative_fitness,q25_relative_fitness,q75_relative_fitness,median_vulnerability
0.7000000000000001,low_predicted_vulnerability,160,1.0,0.998814183051899,1.0,1.0,0.0
0.75,high_predicted_vulnerability,151,0.4883703555998573,0.480382872777382,0.4443634612281295,0.5187430135878094,0.9555749807436164
0.75,intermediate,313,0.6981667911228897,0.7326645205551983,0.6069932993561726,0.8676410554229438,0.4790629986689246
0.75,low_predicted_vulnerability,160,1.0,0.9987312113318403,1.0,1.0,0.0
0.8,high_predicted_vulnerability,151,0.46558528632733154,0.4575999961962194,0.4209729886382251,0.4965341024762977,0.9555749807436164
0.8,intermediate,313,0.6816421954349681,0.7185549918893336,0.5871235356555766,0.8594674499132744,0.4790629986689246
0.8,low_predicted_vulnerability,160,1.0,0.9986484645061837,1.0,1.0,0.0
0.8500000000000001,high_predicted_vulnerability,151,0.443863261475502,0.4359130803107321,0.398813747396437,0.47527602052956075,0.9555749807436164
0.8500000000000001,intermediate,313,0.6655087129683013,0.7048298712278871,0.5679042033682042,0.8513708437878666,0.4790629986689246
0.8500000000000001,low_predicted_vulnerability,160,1.0,0.9985659415297796,1.0,1.0,0.0
0.9,high_predicted_vulnerability,151,0.42315468437969056,0.4152686219959529,0.377820927753003,0.4549280599181671,0.9555749807436164
0.9,intermediate,313,0.6497570866400095,0.6914771564579418,0.5493140107952874,0.843350511674647,0.4790629986689246
0.9,low_predicted_vulnerability,160,1.0,0.9984836413631081,1.0,1.0,0.0
0.9500000000000001,high_predicted_vulnerability,151,0.40341227232287685,0.39561576961430966,0.35793313142408,0.4354512556370431,0.9555749807436164
0.9500000000000001,intermediate,313,0.6343782784689429,0.6784852445350268,0.531332363216136,0.8354057350349038,0.4790629986689246
0.9500000000000001,low_predicted_vulnerability,160,1.0,0.9984015629722476,1.0,1.0,0.0
1.0,high_predicted_vulnerability,151,0.38459094857775805,0.37690618961981,0.33909219201845353,0.4168083108898939,0.9555749807436164
1.0,intermediate,313,0.6193634643898615,0.6658429177291313,0.5139393400727472,0.8275358020989132,0.4790629986689246
1.0,low_predicted_vulnerability,160,1.0,0.998319705328845,1.0,1.0,0.0
