feature,n_folds,mean_abs_coef,mean_coef,source,gene_symbol,reactome_mappable_candidate
expr_NDUFB5 (4711),1,0.0325163761599216,0.0325163761599216,expression,NDUFB5,True
expr_APH1A (51107),1,0.0315073753699795,0.0315073753699795,expression,APH1A,True
expr_EVA1B (55194),1,0.0305750708435119,-0.0305750708435119,expression,EVA1B,True
mut_KLHL11,1,0.0305354995231406,-0.0305354995231406,mutation,KLHL11,True
expr_ABCC4 (10257),1,0.0291578201592069,-0.0291578201592069,expression,ABCC4,True
expr_MARK3 (4140),1,0.0283629716774043,-0.0283629716774043,expression,MARK3,True
expr_TMEM50A (23585),1,0.0277847616549676,0.0277847616549676,expression,TMEM50A,True
expr_STK17B (9262),1,0.025698661661862,-0.025698661661862,expression,STK17B,True
expr_SLC13A3 (64849),1,0.0247599001259045,0.0247599001259045,expression,SLC13A3,True
expr_SEPTIN11 (55752),1,0.0246781184166642,-0.0246781184166642,expression,SEPTIN11,True
expr_CABLES1 (91768),1,0.0226781821917144,-0.0226781821917144,expression,CABLES1,True
expr_KRTCAP2 (200185),1,0.0223684769027695,0.0223684769027695,expression,KRTCAP2,True
expr_MEGF9 (1955),1,0.0223319184350657,0.0223319184350657,expression,MEGF9,True
expr_COA5 (493753),1,0.0205222325915473,0.0205222325915473,expression,COA5,True
expr_TMCO1 (54499),1,0.018492723219354,0.018492723219354,expression,TMCO1,True
mut_NCALD,1,0.0160967389451335,-0.0160967389451335,mutation,NCALD,True
mut_CACNG4,1,0.0160889835169543,-0.0160889835169543,mutation,CACNG4,True
expr_DNAAF11 (23639),1,0.0159095317194438,0.0159095317194438,expression,DNAAF11,True
expr_RSPH1 (89765),1,0.0156854564177545,0.0156854564177545,expression,RSPH1,True
expr_UBASH3B (84959),1,0.01472235019654,-0.01472235019654,expression,UBASH3B,True
expr_SPI1 (6688),1,0.014277423416362,-0.014277423416362,expression,SPI1,True
mut_SCN10A,1,0.0137861410292867,-0.0137861410292867,mutation,SCN10A,True
expr_LBX2 (85474),1,0.013514167702591,-0.013514167702591,expression,LBX2,True
expr_ADAM22 (53616),1,0.0134287154398723,-0.0134287154398723,expression,ADAM22,True
expr_GRK4 (2868),1,0.0133482683427975,-0.0133482683427975,expression,GRK4,True
mut_LRRC32,1,0.0129096961844488,-0.0129096961844488,mutation,LRRC32,True
cnv_PGLYRP3 (114771),1,0.0127851502180642,0.0127851502180642,cnv,PGLYRP3,True
